patRIL,Treat,Dm01792789_g1,Dm01793858_g1,Dm01798339_g1,Dm01798691_g1,Dm01798946_g1,Dm01798992_g1,Dm01799655_g1,Dm01801937_g1,Dm01802841_g1,Dm01803993_g1,Dm01807222_m1,Dm01810402_g1,Dm01813055_g1,Dm01813266_g1,Dm01815101_g1,Dm01816738_g1,Dm01818330_g1,Dm01822194_m1,Dm01822280_g1,Dm01822534_g1,Dm01823183_g1,Dm01825257_g1,Dm01825738_m1,Dm01829117_g1,Dm01829677_g1,Dm01829746_g1,Dm01829971_g1,Dm01837277_g1,Dm01842621_g1,Dm01842882_m1,Dm01842928_g1,Dm01843300_g1,Dm01843706_m1,Dm01844965_g1,Dm01845207_g1,Dm01846623_g1,Dm02135088_g1,Dm02136225_g1,Dm02138179_g1,Dm02140028_g1,Dm02140207_g1,Dm02141794_g1,Dm02142684_g1,Dm02144162_s1,Dm02144278_g1,Dm02144969_g1,Dm02147969_g1,Dm02149560_g1,Dm02149812_m1,Dm02154337_g1,Dm02371846_s1,Dm02773276_u1
22190,C,0.492110105,0.238722518,-0.439392226,0.848379932,-0.287688876,-0.047312518,0,0.719718858,-1.505967676,-1.672937388,-1.906358003,-0.918245093,0.659719326,-0.387868693,0.387868693,-0.19032227,0.439392226,-1.372810323,-1.073562376,-1.161882937,0.782429395,-0.337355327,-0.719718858,-0.094731242,2.348130201,0.19032227,1.906358003,-0.992908151,1.260338797,-0.602006499,0.094731242,0.287688876,1.161882937,1.073562376,-0.782429395,1.372810323,1.505967676,0.047312518,-0.848379932,-2.348130201,0.142364055,-0.546233181,-0.238722518,0.992908151,0.546233181,0.337355327,-1.260338797,-0.492110105,-0.142364055,1.672937388,0.602006499,-0.659719326
22237,DR,0.287688876,-1.505967676,-0.782429395,2.348130201,-0.546233181,0.719718858,0.992908151,0.546233181,0.782429395,0.19032227,-0.492110105,-0.047312518,-0.387868693,-1.161882937,-0.602006499,-0.439392226,1.672937388,0,1.260338797,0.094731242,-0.337355327,-0.19032227,-0.719718858,-0.238722518,1.372810323,0.047312518,0.602006499,0.142364055,0.238722518,-0.094731242,1.161882937,0.337355327,1.906358003,-0.992908151,-1.372810323,-0.918245093,0.387868693,-0.142364055,0.439392226,-0.848379932,-2.348130201,-1.260338797,0.659719326,1.505967676,0.848379932,-1.906358003,-0.287688876,-0.659719326,0.492110105,-1.073562376,-1.672937388,1.073562376
22124,DR,0.848379932,-0.142364055,-1.372810323,-1.260338797,-1.161882937,1.372810323,-1.672937388,-0.287688876,1.505967676,0.602006499,-0.439392226,0.19032227,-0.992908151,-0.782429395,-2.348130201,-0.19032227,0.439392226,-0.492110105,0.047312518,1.161882937,0.287688876,-1.073562376,1.906358003,0.337355327,-0.546233181,-0.094731242,-0.047312518,-0.848379932,0.142364055,0.918245093,2.348130201,-0.337355327,0.546233181,-0.719718858,0.238722518,-0.659719326,0.992908151,1.260338797,0.659719326,-1.906358003,0.094731242,-0.602006499,1.073562376,-0.918245093,0.492110105,1.672937388,0,0.387868693,-0.238722518,0.719718858,0.782429395,-0.387868693
22018,C,-0.719718858,0.337355327,-0.047312518,0.602006499,-0.918245093,-0.782429395,0.439392226,2.348130201,-0.142364055,-0.992908151,-0.337355327,1.906358003,-0.546233181,0.047312518,0,0.287688876,-1.672937388,-0.094731242,1.372810323,0.492110105,-0.19032227,-0.848379932,-0.387868693,-0.238722518,0.546233181,0.992908151,0.387868693,-1.906358003,0.238722518,0.19032227,0.782429395,0.094731242,0.659719326,-1.260338797,-0.287688876,1.073562376,-2.348130201,-0.439392226,0.719718858,-1.073562376,1.672937388,-0.602006499,-0.492110105,1.505967676,-0.659719326,1.260338797,0.142364055,-1.161882937,-1.372810323,1.161882937,0.918245093,-1.505967676
22104,C,-1.672937388,-0.047312518,1.161882937,0.659719326,-0.848379932,-0.992908151,0.602006499,1.672937388,0.546233181,0.439392226,-0.387868693,1.372810323,-0.918245093,0.492110105,0,-2.348130201,1.260338797,-0.238722518,1.505967676,2.348130201,-0.337355327,-1.372810323,0.287688876,0.337355327,0.782429395,-1.906358003,-1.260338797,-1.505967676,0.918245093,-1.161882937,0.848379932,-0.782429395,0.142364055,-0.19032227,0.19032227,-0.492110105,-0.287688876,-0.094731242,0.094731242,-0.602006499,-0.719718858,-0.659719326,-0.439392226,1.073562376,-0.546233181,0.719718858,0.238722518,-0.142364055,0.047312518,0.387868693,0.992908151,-1.073562376
22118,DR,1.372810323,1.672937388,-2.348130201,-1.672937388,0.439392226,0.238722518,-0.782429395,-1.505967676,-0.848379932,-0.546233181,-0.094731242,-0.918245093,-0.047312518,0.19032227,-0.238722518,-1.161882937,-0.337355327,-1.906358003,0.287688876,-0.142364055,0.602006499,0.659719326,0.492110105,0.992908151,0.047312518,0.387868693,0.848379932,-0.992908151,0.719718858,0.782429395,0.337355327,0.918245093,0.546233181,-1.073562376,-0.439392226,1.906358003,0,0.142364055,1.161882937,0.094731242,-0.719718858,-0.492110105,-0.659719326,-0.19032227,-1.372810323,1.260338797,-0.602006499,-1.260338797,-0.387868693,2.348130201,1.073562376,-0.287688876
22145,DR,-1.260338797,1.073562376,1.672937388,0.782429395,-1.161882937,-1.672937388,-0.719718858,2.348130201,0.992908151,0.492110105,-0.602006499,-0.337355327,-0.918245093,-0.546233181,0.602006499,-0.782429395,0.19032227,-1.073562376,1.161882937,0,-0.848379932,0.094731242,0.387868693,1.505967676,0.142364055,-0.047312518,0.848379932,0.047312518,-0.287688876,0.546233181,1.372810323,0.238722518,0.659719326,-0.492110105,-0.387868693,1.260338797,-2.348130201,-1.372810323,0.337355327,-0.992908151,-0.439392226,-0.238722518,0.719718858,0.287688876,-0.19032227,0.439392226,-0.659719326,-1.505967676,-1.906358003,1.906358003,0.918245093,-0.142364055
22212,HS,-0.784501338,0.509759441,0.03493258,0.113804376,0.931172648,-0.263664598,0.456724926,-0.149623973,-0.341216187,-0.725193216,-0.145021404,0.095161135,0.377225284,0.431041456,0.105463693,-0.142526756,-0.567043902,-1.245247128,0.465751165,-1.70616284,0.814205672,0.520699363,-0.716150189,-0.523794009,-0.161181999,-1.47506835,0.883834315,1.09702344,-0.249460331,-0.384114346,0,-0.850337244,0.724785907,-0.656142447,0.523794009,-0.083484856,-0.143017518,-0.156751503,0.690388422,0.815404664,1.804234499,0.656142447,-0.047365621,0.129272152,-0.921661502,0.056235763,0.239426433,-0.818981975,0.479867248,-0.535059136,0.462396725,0.071504876
22342,HS,0,-0.19032227,2.348130201,0.492110105,-0.782429395,-1.505967676,0.659719326,-1.372810323,0.602006499,0.142364055,-0.918245093,1.161882937,0.918245093,-0.337355327,0.287688876,0.546233181,-0.492110105,0.238722518,1.372810323,-0.094731242,-1.906358003,-0.439392226,1.073562376,-0.287688876,-2.348130201,0.387868693,-0.848379932,0.094731242,0.19032227,1.505967676,-0.238722518,-1.073562376,-0.659719326,0.047312518,0.992908151,0.719718858,-0.142364055,-0.602006499,0.337355327,0.782429395,-0.546233181,-0.387868693,-1.161882937,1.672937388,-0.992908151,-1.260338797,0.439392226,-0.047312518,-0.719718858,-1.672937388,0.848379932,1.260338797
22185,HS,0.546233181,1.260338797,-0.782429395,-0.047312518,0.719718858,-0.659719326,0.602006499,-0.142364055,0,-0.238722518,-1.372810323,-0.387868693,-0.848379932,0.782429395,0.287688876,0.659719326,0.238722518,-0.492110105,0.387868693,-0.602006499,-0.918245093,-0.287688876,-0.719718858,-0.19032227,0.848379932,0.439392226,1.372810323,-0.439392226,0.992908151,-1.505967676,-0.337355327,0.337355327,-1.260338797,-0.094731242,0.142364055,0.492110105,-1.672937388,0.918245093,1.073562376,0.19032227,-0.992908151,1.161882937,-0.546233181,1.505967676,-2.348130201,2.348130201,0.094731242,-1.161882937,-1.906358003,1.906358003,-1.073562376,0.047312518
22193,C,-0.659719326,0,0.782429395,1.505967676,0.142364055,-0.287688876,-0.142364055,1.906358003,0.238722518,0.719718858,-1.672937388,0.918245093,-0.602006499,-0.719718858,-1.073562376,-1.372810323,0.602006499,1.161882937,0.659719326,1.372810323,0.848379932,-0.094731242,-0.992908151,-0.337355327,2.348130201,-0.492110105,-0.387868693,-0.19032227,-1.906358003,0.094731242,1.672937388,0.546233181,-0.439392226,-0.848379932,0.287688876,-1.505967676,0.492110105,0.992908151,-0.047312518,-0.546233181,-0.782429395,-2.348130201,0.387868693,1.260338797,-0.238722518,1.073562376,0.047312518,0.439392226,-1.260338797,0.19032227,0.337355327,-0.918245093
22182,DR,0.659719326,0.546233181,0.439392226,-1.906358003,-0.094731242,1.161882937,-2.348130201,-0.19032227,0.238722518,-0.602006499,-0.992908151,0.848379932,-0.492110105,0.094731242,0.142364055,0.719718858,0.918245093,0.992908151,0.337355327,1.672937388,-0.719718858,-1.161882937,-0.782429395,0.602006499,2.348130201,1.073562376,1.906358003,-0.439392226,-1.073562376,1.372810323,-0.848379932,1.505967676,-0.238722518,0.387868693,0,0.782429395,0.19032227,-1.372810323,0.287688876,-0.918245093,-0.287688876,-0.142364055,-0.047312518,-0.659719326,-1.672937388,-0.337355327,-0.387868693,0.047312518,-1.505967676,-0.546233181,0.492110105,-1.260338797
22226,C,0.094731242,-0.848379932,-0.287688876,1.505967676,0.19032227,1.260338797,1.672937388,-1.161882937,-0.047312518,0.782429395,-0.918245093,-1.372810323,-0.439392226,0.142364055,-0.546233181,0.337355327,-0.387868693,-0.094731242,2.348130201,0.659719326,-1.073562376,-1.906358003,0.719718858,0.918245093,0.047312518,-1.672937388,0.848379932,-0.337355327,0.387868693,-1.260338797,1.906358003,0,0.439392226,-1.505967676,-0.142364055,-2.348130201,-0.19032227,1.161882937,0.546233181,-0.659719326,0.287688876,-0.602006499,0.238722518,1.372810323,-0.238722518,0.992908151,-0.782429395,1.073562376,-0.992908151,-0.719718858,0.602006499,-0.492110105
22193,DR,-0.142364055,-0.546233181,0.659719326,0.918245093,0.848379932,-1.372810323,-0.094731242,1.505967676,0.546233181,0.142364055,-2.348130201,2.348130201,-0.602006499,-0.782429395,-0.387868693,-0.918245093,-1.505967676,0.602006499,0.439392226,0.719718858,0.287688876,0.047312518,-0.238722518,-0.992908151,0,1.906358003,-0.337355327,0.337355327,-1.906358003,0.19032227,1.260338797,1.672937388,0.387868693,0.094731242,-0.492110105,-0.19032227,-1.073562376,-0.848379932,0.238722518,-1.260338797,-0.659719326,-1.672937388,0.782429395,0.992908151,-0.287688876,1.073562376,1.372810323,0.492110105,-0.719718858,-0.047312518,-0.439392226,-1.161882937
22217,DR,-0.602006499,0.719718858,-0.492110105,-1.260338797,0.602006499,-0.238722518,1.505967676,-0.992908151,0.848379932,-1.372810323,-0.287688876,-0.337355327,-2.348130201,0.659719326,-0.719718858,-0.659719326,-0.782429395,1.260338797,0.439392226,1.672937388,0.918245093,0.047312518,1.906358003,0.238722518,1.073562376,1.161882937,0.992908151,-1.161882937,-1.906358003,-0.439392226,2.348130201,0.287688876,-0.19032227,-0.047312518,0.492110105,-1.073562376,0.337355327,1.372810323,-0.546233181,-0.387868693,0.387868693,0.142364055,0.094731242,0,-0.848379932,0.546233181,-0.094731242,0.19032227,-1.672937388,-0.142364055,0.782429395,-1.505967676
22028,DR,0.19032227,-1.906358003,-1.260338797,-0.848379932,0,-0.387868693,-1.505967676,-0.918245093,0.918245093,-0.439392226,0.047312518,0.287688876,-0.602006499,0.782429395,0.337355327,0.492110105,0.142364055,1.672937388,0.659719326,1.260338797,-0.19032227,0.439392226,-1.073562376,-0.546233181,1.906358003,-0.047312518,-0.659719326,-0.238722518,-2.348130201,0.094731242,-0.287688876,0.238722518,0.719718858,0.546233181,0.602006499,-0.142364055,0.992908151,0.387868693,-0.492110105,-1.372810323,0.848379932,-1.161882937,1.073562376,-1.672937388,-0.337355327,2.348130201,1.161882937,1.372810323,-0.782429395,-0.094731242,1.505967676,-0.719718858
22042,C,1.073562376,1.161882937,0.387868693,0.047312518,-0.602006499,1.672937388,-0.094731242,0,0.719718858,0.19032227,-0.848379932,0.602006499,-0.918245093,1.505967676,0.782429395,-0.238722518,-1.161882937,0.992908151,0.287688876,-0.492110105,2.348130201,-2.348130201,0.094731242,0.848379932,-1.260338797,-0.439392226,-0.782429395,-0.287688876,0.337355327,-1.906358003,0.659719326,0.238722518,-0.337355327,-0.992908151,-0.659719326,0.142364055,-1.372810323,-0.19032227,1.260338797,-0.546233181,-1.672937388,-0.142364055,0.439392226,0.546233181,-1.505967676,0.918245093,-1.073562376,0.492110105,-0.719718858,1.906358003,-0.047312518,-0.387868693
22124,C,0.047312518,0.19032227,0.546233181,-1.505967676,-0.719718858,0.439392226,-0.546233181,0.287688876,0.719718858,1.260338797,-0.094731242,-0.19032227,-0.238722518,-1.372810323,-0.387868693,0.992908151,-0.142364055,0.918245093,0,1.906358003,0.602006499,-1.672937388,1.073562376,0.094731242,1.372810323,0.142364055,0.492110105,-0.918245093,-0.659719326,0.659719326,2.348130201,1.505967676,1.161882937,-0.602006499,-1.073562376,-1.161882937,0.387868693,0.782429395,-0.439392226,-0.848379932,-2.348130201,-0.337355327,0.848379932,-1.906358003,0.337355327,-0.047312518,0.238722518,1.672937388,-1.260338797,-0.782429395,-0.287688876,-0.992908151
22182,HS,1.372810323,0.848379932,0.142364055,-0.918245093,-0.094731242,1.073562376,-1.906358003,-2.348130201,0.659719326,0.047312518,-0.439392226,0.719718858,-0.047312518,1.906358003,-0.659719326,-0.848379932,0.602006499,-1.672937388,0.492110105,0.287688876,0.337355327,-0.387868693,0.094731242,0.546233181,-1.505967676,-0.287688876,2.348130201,-0.992908151,-1.161882937,1.161882937,0,-0.142364055,0.387868693,0.918245093,-0.238722518,0.782429395,0.238722518,-0.602006499,-1.372810323,0.19032227,-0.782429395,-1.073562376,0.992908151,-0.719718858,-0.337355327,-1.260338797,-0.19032227,1.505967676,-0.546233181,1.672937388,1.260338797,-0.492110105
22376,HS,-0.782429395,1.073562376,1.906358003,1.260338797,0.992908151,-0.659719326,0.782429395,0.546233181,-1.672937388,-1.161882937,-0.992908151,2.348130201,-0.602006499,0,-0.719718858,0.047312518,0.659719326,-0.142364055,0.848379932,0.492110105,-0.918245093,-0.19032227,0.238722518,0.19032227,1.372810323,-0.047312518,0.918245093,-1.372810323,1.672937388,0.142364055,0.439392226,0.387868693,-0.492110105,0.337355327,1.161882937,0.719718858,-0.848379932,0.602006499,0.287688876,-0.439392226,-1.073562376,-0.337355327,-1.906358003,1.505967676,-0.238722518,0.094731242,-1.505967676,-1.260338797,-0.387868693,-0.094731242,-2.348130201,-0.287688876
22185,DR,-1.073562376,0.19032227,-0.238722518,0.659719326,-0.287688876,-0.439392226,-0.337355327,0.782429395,0.918245093,1.372810323,-1.505967676,-0.659719326,-0.719718858,-2.348130201,-0.992908151,-0.546233181,0.047312518,0.848379932,0,0.992908151,-0.782429395,0.719718858,1.260338797,0.492110105,2.348130201,1.672937388,-0.387868693,-1.260338797,0.142364055,-0.848379932,1.505967676,0.387868693,0.439392226,-0.19032227,0.287688876,-1.161882937,-1.906358003,1.906358003,-0.094731242,-0.492110105,-1.372810323,-0.918245093,1.161882937,0.238722518,-0.602006499,-0.047312518,0.546233181,0.337355327,-1.672937388,-0.142364055,0.602006499,0.094731242
22145,HS,0.546233181,0.602006499,-1.073562376,0.848379932,-1.372810323,-0.719718858,-1.672937388,-1.161882937,1.906358003,0.492110105,-0.602006499,-1.906358003,0.047312518,-0.047312518,-0.142364055,0.19032227,0.337355327,-0.387868693,-0.337355327,-0.918245093,-1.505967676,0.782429395,-0.19032227,1.505967676,-0.848379932,-0.546233181,-0.094731242,1.073562376,-2.348130201,1.161882937,-1.260338797,-0.238722518,1.260338797,0.719718858,-0.782429395,0.659719326,0.387868693,0.094731242,0.287688876,1.672937388,-0.659719326,0,1.372810323,-0.492110105,-0.992908151,0.142364055,0.238722518,-0.287688876,-0.439392226,2.348130201,0.439392226,0.918245093
22182,C,-0.992908151,-0.142364055,0.782429395,-0.848379932,-0.287688876,0.047312518,0.287688876,-1.906358003,-0.782429395,1.906358003,0.387868693,0.848379932,-0.047312518,0.992908151,0.094731242,1.161882937,-1.505967676,-1.260338797,1.372810323,0.719718858,-1.073562376,-1.372810323,0.19032227,1.505967676,-0.094731242,-0.387868693,0.492110105,-0.238722518,1.260338797,2.348130201,-0.918245093,-2.348130201,-0.439392226,-0.602006499,0.439392226,1.672937388,-1.161882937,0,-0.337355327,0.659719326,0.602006499,-0.19032227,-0.492110105,-0.659719326,0.546233181,1.073562376,0.918245093,-1.672937388,0.142364055,-0.719718858,0.337355327,-0.546233181
22120,DR,1.906358003,-1.505967676,0.848379932,-1.372810323,-0.492110105,-1.906358003,0.659719326,-0.094731242,-0.238722518,1.260338797,0.387868693,-0.992908151,0.782429395,0.287688876,-0.047312518,0.492110105,-0.719718858,0.19032227,0.094731242,2.348130201,0.546233181,-1.161882937,0.992908151,-0.387868693,-1.260338797,-0.546233181,-0.287688876,0.337355327,-0.848379932,0.047312518,-0.659719326,1.161882937,0.142364055,-0.142364055,1.672937388,0.719718858,1.372810323,-1.672937388,-0.337355327,-0.782429395,0.238722518,-0.19032227,0.602006499,-2.348130201,0.918245093,0,1.073562376,-0.439392226,1.505967676,-0.602006499,0.439392226,-0.918245093
22193,HS,0.287688876,-0.659719326,-1.672937388,-0.287688876,-0.848379932,-0.546233181,-1.161882937,-1.505967676,-0.19032227,0.337355327,0.492110105,-1.073562376,0.546233181,1.906358003,0.659719326,0.992908151,0.094731242,-0.142364055,-0.602006499,-1.906358003,-0.337355327,1.260338797,-1.260338797,-0.238722518,-1.372810323,-0.918245093,0.719718858,1.672937388,-0.992908151,1.161882937,-2.348130201,-0.047312518,-0.387868693,2.348130201,0.782429395,1.073562376,0.602006499,1.372810323,-0.782429395,0.439392226,-0.439392226,0.238722518,0.387868693,0.19032227,0.047312518,0,0.848379932,0.918245093,1.505967676,-0.719718858,0.142364055,-0.492110105
22028,HS,0.918245093,-0.19032227,-1.505967676,-1.073562376,-0.602006499,-0.659719326,-1.372810323,-1.672937388,0.337355327,0.047312518,0.439392226,-1.906358003,-0.094731242,1.906358003,1.260338797,0.094731242,0.546233181,-0.047312518,-0.918245093,-2.348130201,1.372810323,0.782429395,0.238722518,-0.492110105,-0.992908151,-1.260338797,-0.287688876,0.719718858,-0.782429395,-0.142364055,-1.161882937,-0.439392226,-0.719718858,0.659719326,0.287688876,1.505967676,0.492110105,0.848379932,1.161882937,0.19032227,1.073562376,0.602006499,-0.337355327,-0.848379932,-0.546233181,-0.387868693,-0.238722518,0.992908151,1.672937388,2.348130201,0,0.142364055
22090,HS,1.906358003,-0.918245093,-2.348130201,-0.848379932,-0.19032227,-0.047312518,-1.906358003,-1.672937388,-0.492110105,-0.387868693,0.918245093,-0.992908151,0.337355327,2.348130201,-0.337355327,1.161882937,0.238722518,0.19032227,-1.260338797,-1.073562376,-0.782429395,-0.142364055,-1.161882937,0.387868693,-1.372810323,-1.505967676,-0.602006499,0.782429395,-0.659719326,1.260338797,0.047312518,-0.546233181,0,1.505967676,0.142364055,0.659719326,0.287688876,0.546233181,0.492110105,0.439392226,-0.439392226,-0.287688876,0.992908151,-0.238722518,0.094731242,1.372810323,1.073562376,0.602006499,0.848379932,1.672937388,0.719718858,-0.094731242
22124,HS,1.073562376,0.094731242,-0.848379932,-0.337355327,-0.142364055,-1.161882937,-2.348130201,-1.372810323,-0.719718858,-0.782429395,1.505967676,-1.260338797,0.602006499,0.337355327,-0.387868693,1.260338797,-0.047312518,-0.602006499,-1.505967676,-0.19032227,-0.238722518,-0.287688876,-0.546233181,0.492110105,-1.672937388,-0.992908151,-1.073562376,0.287688876,-0.918245093,1.372810323,-1.906358003,0.238722518,0,1.906358003,-0.492110105,0.782429395,0.546233181,0.719718858,0.142364055,-0.094731242,0.19032227,-0.439392226,1.672937388,-0.659719326,0.047312518,0.439392226,0.659719326,2.348130201,0.387868693,1.161882937,0.848379932,0.992908151
22221,HS,0.848379932,-0.992908151,-1.505967676,-0.337355327,-0.719718858,-0.782429395,-1.906358003,-1.161882937,0.142364055,0.492110105,1.161882937,-1.260338797,0.439392226,1.260338797,-0.19032227,0.19032227,-0.546233181,0.719718858,-0.848379932,-1.073562376,0.992908151,-1.672937388,-1.372810323,0.546233181,-0.918245093,0.238722518,-0.094731242,1.672937388,0.094731242,2.348130201,-0.492110105,-0.659719326,0.287688876,1.906358003,0,0.387868693,-0.439392226,1.073562376,0.047312518,-0.142364055,0.659719326,-0.287688876,0.602006499,-0.387868693,0.782429395,1.505967676,0.337355327,1.372810323,0.918245093,-0.602006499,-2.348130201,-0.047312518
22246,HS,-0.918245093,-0.287688876,1.073562376,2.348130201,0.782429395,-1.906358003,-0.047312518,0.19032227,-1.372810323,0.992908151,-1.505967676,0.142364055,0.238722518,0.918245093,-0.782429395,0.337355327,-1.161882937,-0.719718858,0.602006499,0.719718858,0.094731242,-0.546233181,-1.672937388,-0.094731242,1.372810323,1.260338797,1.672937388,-1.073562376,0.659719326,-0.848379932,0.387868693,0.848379932,-0.992908151,-0.602006499,0.439392226,-0.238722518,-0.387868693,0.492110105,0.287688876,-2.348130201,-1.260338797,-0.142364055,-0.337355327,1.906358003,0.546233181,0.047312518,-0.492110105,1.161882937,-0.439392226,-0.659719326,0,1.505967676
22298,HS,-0.782429395,-1.906358003,0.287688876,-0.546233181,0.439392226,0.659719326,2.348130201,0.238722518,-0.992908151,-1.260338797,0.719718858,0.848379932,-2.348130201,-0.602006499,-0.918245093,-0.238722518,-0.19032227,-0.387868693,0.992908151,-1.372810323,0.782429395,1.161882937,1.073562376,-0.047312518,-1.505967676,-0.439392226,1.906358003,-0.337355327,0.602006499,1.505967676,-0.659719326,0.094731242,-0.719718858,0.142364055,-0.492110105,0.387868693,-0.094731242,1.372810323,0.047312518,0,0.492110105,-1.672937388,-0.287688876,1.260338797,0.546233181,1.672937388,-0.848379932,-1.073562376,0.19032227,0.337355327,0.918245093,-0.142364055
